,Date,AveragePrice,Total Sold Volume,type,year,region
0,2015-12-27,1.33,64236.62,conventional,2015,Albany
1,2015-12-20,1.35,54876.98,conventional,2015,Albany
2,2015-12-13,0.93,118220.22,conventional,2015,Albany
3,2015-12-06,1.08,78992.15,conventional,2015,Albany
4,2015-11-29,1.28,51039.6,conventional,2015,Albany
5,2015-11-22,1.26,55979.78,conventional,2015,Albany
6,2015-11-15,0.99,83453.76,conventional,2015,Albany
7,2015-11-08,0.98,109428.33,conventional,2015,Albany
8,2015-11-01,1.02,99811.42,conventional,2015,Albany
9,2015-10-25,1.07,74338.76,conventional,2015,Albany
10,2015-10-18,1.12,84843.44,conventional,2015,Albany
11,2015-10-11,1.28,64489.17,conventional,2015,Albany
12,2015-10-04,1.31,61007.1,conventional,2015,Albany
13,2015-09-27,0.99,106803.39,conventional,2015,Albany
14,2015-09-20,1.33,69759.01,conventional,2015,Albany
15,2015-09-13,1.28,76111.27,conventional,2015,Albany
16,2015-09-06,1.11,99172.96,conventional,2015,Albany
17,2015-08-30,1.07,105693.84,conventional,2015,Albany
18,2015-08-23,1.34,79992.09,conventional,2015,Albany
19,2015-08-16,1.33,80043.78,conventional,2015,Albany
20,2015-08-09,1.12,111140.93,conventional,2015,Albany
21,2015-08-02,1.45,75133.1,conventional,2015,Albany
22,2015-07-26,1.11,106757.1,conventional,2015,Albany
23,2015-07-19,1.26,96617.0,conventional,2015,Albany
24,2015-07-12,1.05,124055.31,conventional,2015,Albany
25,2015-07-05,1.35,109252.12,conventional,2015,Albany
26,2015-06-28,1.37,89534.81,conventional,2015,Albany
27,2015-06-21,1.27,104849.39,conventional,2015,Albany
28,2015-06-14,1.32,89631.3,conventional,2015,Albany
29,2015-06-07,1.07,122743.06,conventional,2015,Albany
30,2015-05-31,1.23,95123.62,conventional,2015,Albany
31,2015-05-24,1.19,101470.91,conventional,2015,Albany
32,2015-05-17,1.43,109857.47,conventional,2015,Albany
33,2015-05-10,1.26,120427.91,conventional,2015,Albany
34,2015-05-03,1.2,59197.67,conventional,2015,Albany
35,2015-04-26,1.22,49585.46,conventional,2015,Albany
36,2015-04-19,1.19,49064.73,conventional,2015,Albany
37,2015-04-12,1.13,48364.29,conventional,2015,Albany
38,2015-04-05,1.16,47362.13,conventional,2015,Albany
39,2015-03-29,1.02,67799.08,conventional,2015,Albany
40,2015-03-22,1.12,46346.85,conventional,2015,Albany
41,2015-03-15,1.11,43045.79,conventional,2015,Albany
42,2015-03-08,1.07,40507.36,conventional,2015,Albany
43,2015-03-01,0.99,55595.74,conventional,2015,Albany
44,2015-02-22,1.07,45675.05,conventional,2015,Albany
45,2015-02-15,1.06,41567.62,conventional,2015,Albany
46,2015-02-08,0.99,51253.97,conventional,2015,Albany
47,2015-02-01,0.99,70873.6,conventional,2015,Albany
48,2015-01-25,1.06,45147.5,conventional,2015,Albany
49,2015-01-18,1.17,44511.28,conventional,2015,Albany
50,2015-01-11,1.24,41195.08,conventional,2015,Albany
51,2015-01-04,1.22,40873.28,conventional,2015,Albany
52,2015-12-27,0.99,386100.49,conventional,2015,Atlanta
53,2015-12-20,1.08,331377.53,conventional,2015,Atlanta
54,2015-12-13,0.96,417772.47,conventional,2015,Atlanta
55,2015-12-06,1.07,357636.82,conventional,2015,Atlanta
56,2015-11-29,0.99,333280.79,conventional,2015,Atlanta
57,2015-11-22,1.0,356414.57,conventional,2015,Atlanta
58,2015-11-15,1.13,339860.68,conventional,2015,Atlanta
59,2015-11-08,1.12,334041.6,conventional,2015,Atlanta
60,2015-11-01,0.99,419088.74,conventional,2015,Atlanta
61,2015-10-25,1.09,358478.08,conventional,2015,Atlanta
62,2015-10-18,1.09,349072.48,conventional,2015,Atlanta
63,2015-10-11,0.95,433874.46,conventional,2015,Atlanta
64,2015-10-04,0.96,418682.26,conventional,2015,Atlanta
65,2015-09-27,1.07,370321.17,conventional,2015,Atlanta
66,2015-09-20,0.93,516432.6,conventional,2015,Atlanta
67,2015-09-13,1.07,417232.18,conventional,2015,Atlanta
68,2015-09-06,0.97,472136.53,conventional,2015,Atlanta
69,2015-08-30,1.15,382972.72,conventional,2015,Atlanta
70,2015-08-23,1.12,379054.29,conventional,2015,Atlanta
71,2015-08-16,1.09,465213.81,conventional,2015,Atlanta
72,2015-08-09,1.01,503791.72,conventional,2015,Atlanta
73,2015-08-02,1.15,405898.44,conventional,2015,Atlanta
74,2015-07-26,1.08,437377.75,conventional,2015,Atlanta
75,2015-07-19,0.97,557212.99,conventional,2015,Atlanta
76,2015-07-12,1.14,407204.88,conventional,2015,Atlanta
77,2015-07-05,1.01,562462.33,conventional,2015,Atlanta
78,2015-06-28,1.13,435210.71,conventional,2015,Atlanta
79,2015-06-21,0.99,554763.76,conventional,2015,Atlanta
80,2015-06-14,1.1,465804.78,conventional,2015,Atlanta
81,2015-06-07,0.99,551009.05,conventional,2015,Atlanta
82,2015-05-31,1.1,454702.0,conventional,2015,Atlanta
83,2015-05-24,0.96,623212.04,conventional,2015,Atlanta
84,2015-05-17,1.11,451250.7,conventional,2015,Atlanta
85,2015-05-10,1.1,480071.18,conventional,2015,Atlanta
86,2015-05-03,1.0,634213.1,conventional,2015,Atlanta
87,2015-04-26,1.12,448596.76,conventional,2015,Atlanta
88,2015-04-19,1.12,430966.34,conventional,2015,Atlanta
89,2015-04-12,0.99,451101.89,conventional,2015,Atlanta
90,2015-04-05,1.04,383139.49,conventional,2015,Atlanta
91,2015-03-29,1.11,365722.14,conventional,2015,Atlanta
92,2015-03-22,1.0,479590.62,conventional,2015,Atlanta
93,2015-03-15,1.12,399566.22,conventional,2015,Atlanta
94,2015-03-08,1.1,420826.32,conventional,2015,Atlanta
95,2015-03-01,0.99,512532.44,conventional,2015,Atlanta
96,2015-02-22,1.1,431308.56,conventional,2015,Atlanta
97,2015-02-15,1.06,427391.28,conventional,2015,Atlanta
98,2015-02-08,1.03,433883.91,conventional,2015,Atlanta
99,2015-02-01,0.96,636771.37,conventional,2015,Atlanta
100,2015-01-25,1.1,449332.85,conventional,2015,Atlanta
101,2015-01-18,1.11,431490.99,conventional,2015,Atlanta
102,2015-01-11,1.11,397542.72,conventional,2015,Atlanta
103,2015-01-04,1.0,435021.49,conventional,2015,Atlanta
104,2015-12-27,1.17,596819.4,conventional,2015,BaltimoreWashington
105,2015-12-20,1.11,642682.4,conventional,2015,BaltimoreWashington
106,2015-12-13,1.15,619509.33,conventional,2015,BaltimoreWashington
107,2015-12-06,1.04,649141.25,conventional,2015,BaltimoreWashington
108,2015-11-29,1.16,545800.05,conventional,2015,BaltimoreWashington
109,2015-11-22,1.12,572019.8,conventional,2015,BaltimoreWashington
110,2015-11-15,1.04,718330.48,conventional,2015,BaltimoreWashington
111,2015-11-08,1.05,830967.23,conventional,2015,BaltimoreWashington
112,2015-11-01,1.12,742220.67,conventional,2015,BaltimoreWashington
113,2015-10-25,1.19,656892.03,conventional,2015,BaltimoreWashington
114,2015-10-18,0.99,1005603.78,conventional,2015,BaltimoreWashington
115,2015-10-11,1.24,653560.14,conventional,2015,BaltimoreWashington
116,2015-10-04,1.28,657444.04,conventional,2015,BaltimoreWashington
117,2015-09-27,1.19,696281.81,conventional,2015,BaltimoreWashington
118,2015-09-20,1.17,709268.62,conventional,2015,BaltimoreWashington
119,2015-09-13,1.09,924993.61,conventional,2015,BaltimoreWashington
120,2015-09-06,1.18,823623.36,conventional,2015,BaltimoreWashington
121,2015-08-30,1.24,734721.29,conventional,2015,BaltimoreWashington
122,2015-08-23,1.16,783935.36,conventional,2015,BaltimoreWashington
123,2015-08-16,1.14,882754.72,conventional,2015,BaltimoreWashington
124,2015-08-09,1.16,821523.45,conventional,2015,BaltimoreWashington
125,2015-08-02,1.17,800603.23,conventional,2015,BaltimoreWashington
126,2015-07-26,1.2,772926.12,conventional,2015,BaltimoreWashington
127,2015-07-19,1.18,800194.34,conventional,2015,BaltimoreWashington
128,2015-07-12,1.1,850931.58,conventional,2015,BaltimoreWashington
129,2015-07-05,1.16,896298.77,conventional,2015,BaltimoreWashington
130,2015-06-28,1.15,862261.64,conventional,2015,BaltimoreWashington
131,2015-06-21,1.16,862840.73,conventional,2015,BaltimoreWashington
132,2015-06-14,1.09,955046.82,conventional,2015,BaltimoreWashington
133,2015-06-07,1.26,794310.29,conventional,2015,BaltimoreWashington
134,2015-05-31,1.19,949177.06,conventional,2015,BaltimoreWashington
135,2015-05-24,1.18,908661.83,conventional,2015,BaltimoreWashington
136,2015-05-17,1.27,790853.86,conventional,2015,BaltimoreWashington
137,2015-05-10,1.26,855205.82,conventional,2015,BaltimoreWashington
138,2015-05-03,1.17,896972.05,conventional,2015,BaltimoreWashington
139,2015-04-26,1.29,747841.09,conventional,2015,BaltimoreWashington
140,2015-04-19,1.28,762862.62,conventional,2015,BaltimoreWashington
141,2015-04-12,1.15,837629.62,conventional,2015,BaltimoreWashington
142,2015-04-05,1.29,688065.45,conventional,2015,BaltimoreWashington
143,2015-03-29,1.25,663677.32,conventional,2015,BaltimoreWashington
144,2015-03-22,1.1,808897.21,conventional,2015,BaltimoreWashington
145,2015-03-15,1.24,693698.13,conventional,2015,BaltimoreWashington
146,2015-03-08,1.26,657745.9,conventional,2015,BaltimoreWashington
147,2015-03-01,1.16,770115.24,conventional,2015,BaltimoreWashington
148,2015-02-22,1.11,749845.79,conventional,2015,BaltimoreWashington
149,2015-02-15,1.25,637319.34,conventional,2015,BaltimoreWashington
150,2015-02-08,1.09,844931.21,conventional,2015,BaltimoreWashington
151,2015-02-01,1.06,1007418.76,conventional,2015,BaltimoreWashington
152,2015-01-25,1.2,692934.46,conventional,2015,BaltimoreWashington
153,2015-01-18,1.23,657741.34,conventional,2015,BaltimoreWashington
154,2015-01-11,1.17,670231.94,conventional,2015,BaltimoreWashington
155,2015-01-04,1.08,788025.06,conventional,2015,BaltimoreWashington
156,2015-12-27,0.97,62909.69,conventional,2015,Boise
157,2015-12-20,1.03,57504.05,conventional,2015,Boise
158,2015-12-13,0.99,58461.05,conventional,2015,Boise
159,2015-12-06,0.71,95295.34,conventional,2015,Boise
160,2015-11-29,1.06,49069.13,conventional,2015,Boise
161,2015-11-22,1.09,52875.58,conventional,2015,Boise
162,2015-11-15,1.01,68648.22,conventional,2015,Boise
163,2015-11-08,1.11,55847.79,conventional,2015,Boise
164,2015-11-01,1.14,53585.51,conventional,2015,Boise
165,2015-10-25,1.11,59874.45,conventional,2015,Boise
166,2015-10-18,1.16,54191.14,conventional,2015,Boise
167,2015-10-11,0.94,80904.19,conventional,2015,Boise
168,2015-10-04,1.12,59496.33,conventional,2015,Boise
169,2015-09-27,0.99,64187.8,conventional,2015,Boise
170,2015-09-20,1.03,73952.9,conventional,2015,Boise
171,2015-09-13,1.08,64208.84,conventional,2015,Boise
172,2015-09-06,1.16,64464.61,conventional,2015,Boise
173,2015-08-30,1.19,60099.83,conventional,2015,Boise
174,2015-08-23,1.05,70773.76,conventional,2015,Boise
175,2015-08-16,1.12,64001.61,conventional,2015,Boise
176,2015-08-09,1.1,61286.98,conventional,2015,Boise
177,2015-08-02,1.07,67763.91,conventional,2015,Boise
178,2015-07-26,1.07,67826.07,conventional,2015,Boise
179,2015-07-19,1.09,63958.04,conventional,2015,Boise
180,2015-07-12,1.05,74677.72,conventional,2015,Boise
181,2015-07-05,1.15,85044.45,conventional,2015,Boise
182,2015-06-28,1.04,75280.41,conventional,2015,Boise
183,2015-06-21,1.06,81397.07,conventional,2015,Boise
184,2015-06-14,0.99,87607.71,conventional,2015,Boise
185,2015-06-07,1.12,80751.29,conventional,2015,Boise
186,2015-05-31,0.97,76689.38,conventional,2015,Boise
187,2015-05-24,1.03,83209.77,conventional,2015,Boise
188,2015-05-17,0.96,77987.53,conventional,2015,Boise
189,2015-05-10,1.06,95788.53,conventional,2015,Boise
190,2015-05-03,1.0,85466.99,conventional,2015,Boise
191,2015-04-26,0.96,88111.17,conventional,2015,Boise
192,2015-04-19,0.99,89694.96,conventional,2015,Boise
193,2015-04-12,1.19,66246.3,conventional,2015,Boise
194,2015-04-05,1.09,76704.46,conventional,2015,Boise
195,2015-03-29,0.98,74543.98,conventional,2015,Boise
196,2015-03-22,1.17,61419.11,conventional,2015,Boise
197,2015-03-15,1.0,65918.28,conventional,2015,Boise
198,2015-03-08,1.14,65350.24,conventional,2015,Boise
199,2015-03-01,1.06,75046.37,conventional,2015,Boise
200,2015-02-22,0.99,76836.1,conventional,2015,Boise
201,2015-02-15,1.14,61221.98,conventional,2015,Boise
202,2015-02-08,1.07,69970.75,conventional,2015,Boise
203,2015-02-01,0.91,113578.24,conventional,2015,Boise
204,2015-01-25,1.03,66069.21,conventional,2015,Boise
205,2015-01-18,1.08,62870.49,conventional,2015,Boise
206,2015-01-11,1.18,57355.52,conventional,2015,Boise
207,2015-01-04,1.01,80034.32,conventional,2015,Boise
208,2015-12-27,1.13,450816.39,conventional,2015,Boston
209,2015-12-20,1.07,489802.88,conventional,2015,Boston
210,2015-12-13,1.01,549945.76,conventional,2015,Boston
211,2015-12-06,1.02,488679.31,conventional,2015,Boston
212,2015-11-29,1.19,350559.81,conventional,2015,Boston
